"rowid","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Adelie","Torgersen",39.1,18.7,181,3750,"male",2007
"2","Adelie","Torgersen",39.5,17.4,186,3800,"female",2007
"3","Adelie","Torgersen",40.3,18,195,3250,"female",2007
"4","Adelie","Torgersen",NA,NA,NA,NA,NA,2007
"5","Adelie","Torgersen",36.7,19.3,193,3450,"female",2007
"6","Adelie","Torgersen",39.3,20.6,190,3650,"male",2007
"7","Adelie","Torgersen",38.9,17.8,181,3625,"female",2007
"8","Adelie","Torgersen",39.2,19.6,195,4675,"male",2007
"9","Adelie","Torgersen",34.1,18.1,193,3475,NA,2007
"10","Adelie","Torgersen",42,20.2,190,4250,NA,2007
"11","Adelie","Torgersen",37.8,17.1,186,3300,NA,2007
"12","Adelie","Torgersen",37.8,17.3,180,3700,NA,2007
"13","Adelie","Torgersen",41.1,17.6,182,3200,"female",2007
"14","Adelie","Torgersen",38.6,21.2,191,3800,"male",2007
"15","Adelie","Torgersen",34.6,21.1,198,4400,"male",2007
"16","Adelie","Torgersen",36.6,17.8,185,3700,"female",2007
"17","Adelie","Torgersen",38.7,19,195,3450,"female",2007
"18","Adelie","Torgersen",42.5,20.7,197,4500,"male",2007
"19","Adelie","Torgersen",34.4,18.4,184,3325,"female",2007
"20","Adelie","Torgersen",46,21.5,194,4200,"male",2007
"153","Gentoo","Biscoe",46.1,13.2,211,4500,"female",2007
"154","Gentoo","Biscoe",50,16.3,230,5700,"male",2007
"155","Gentoo","Biscoe",48.7,14.1,210,4450,"female",2007
"156","Gentoo","Biscoe",50,15.2,218,5700,"male",2007
"157","Gentoo","Biscoe",47.6,14.5,215,5400,"male",2007
"158","Gentoo","Biscoe",46.5,13.5,210,4550,"female",2007
"159","Gentoo","Biscoe",45.4,14.6,211,4800,"female",2007
"160","Gentoo","Biscoe",46.7,15.3,219,5200,"male",2007
"161","Gentoo","Biscoe",43.3,13.4,209,4400,"female",2007
"162","Gentoo","Biscoe",46.8,15.4,215,5150,"male",2007
"163","Gentoo","Biscoe",40.9,13.7,214,4650,"female",2007
"164","Gentoo","Biscoe",49,16.1,216,5550,"male",2007
"165","Gentoo","Biscoe",45.5,13.7,214,4650,"female",2007
"166","Gentoo","Biscoe",48.4,14.6,213,5850,"male",2007
"167","Gentoo","Biscoe",45.8,14.6,210,4200,"female",2007
"168","Gentoo","Biscoe",49.3,15.7,217,5850,"male",2007
"169","Gentoo","Biscoe",42,13.5,210,4150,"female",2007
"170","Gentoo","Biscoe",49.2,15.2,221,6300,"male",2007
"171","Gentoo","Biscoe",46.2,14.5,209,4800,"female",2007
"172","Gentoo","Biscoe",48.7,15.1,222,5350,"male",2007
"276","Chinstrap","Dream",46.5,17.9,192,3500,"female",2007
"277","Chinstrap","Dream",50,19.5,196,3900,"male",2007
"278","Chinstrap","Dream",51.3,19.2,193,3650,"male",2007
"279","Chinstrap","Dream",45.4,18.7,188,3525,"female",2007
"280","Chinstrap","Dream",52.7,19.8,197,3725,"male",2007
"281","Chinstrap","Dream",45.2,17.8,198,3950,"female",2007
"282","Chinstrap","Dream",46.1,18.2,178,3250,"female",2007
"283","Chinstrap","Dream",51.3,18.2,197,3750,"male",2007
"284","Chinstrap","Dream",46,18.9,195,4150,"female",2007
"285","Chinstrap","Dream",51.3,19.9,198,3700,"male",2007
"286","Chinstrap","Dream",46.6,17.8,193,3800,"female",2007
"287","Chinstrap","Dream",51.7,20.3,194,3775,"male",2007
"288","Chinstrap","Dream",47,17.3,185,3700,"female",2007
"289","Chinstrap","Dream",52,18.1,201,4050,"male",2007
"290","Chinstrap","Dream",45.9,17.1,190,3575,"female",2007
"291","Chinstrap","Dream",50.5,19.6,201,4050,"male",2007
"292","Chinstrap","Dream",50.3,20,197,3300,"male",2007
"293","Chinstrap","Dream",58,17.8,181,3700,"female",2007
"294","Chinstrap","Dream",46.4,18.6,190,3450,"female",2007
"295","Chinstrap","Dream",49.2,18.2,195,4400,"male",2007

